Date,INR
25-Jun-1998,42.6
26-Jun-1998,42.71
29-Jun-1998,42.56
30-Jun-1998,42.47
1-Jul-1998,42.29
2-Jul-1998,42.36
3-Jul-1998,42.49
6-Jul-1998,42.46
7-Jul-1998,42.46
8-Jul-1998,42.61
9-Jul-1998,42.59
10-Jul-1998,42.47
13-Jul-1998,42.59
14-Jul-1998,42.61
15-Jul-1998,42.6
16-Jul-1998,42.52
17-Jul-1998,42.56
20-Jul-1998,42.51
21-Jul-1998,42.47
22-Jul-1998,42.39
23-Jul-1998,42.49
24-Jul-1998,42.53
27-Jul-1998,42.56
28-Jul-1998,42.56
29-Jul-1998,42.53
30-Jul-1998,42.53
31-Jul-1998,42.56
3-Aug-1998,42.55
4-Aug-1998,42.55
5-Aug-1998,42.47
6-Aug-1998,42.49
7-Aug-1998,42.55
10-Aug-1998,42.69
11-Aug-1998,42.71
12-Aug-1998,42.94
13-Aug-1998,43.19
14-Aug-1998,43.08
17-Aug-1998,43.21
18-Aug-1998,43.26
19-Aug-1998,43.42
20-Aug-1998,42.75
21-Aug-1998,42.57
24-Aug-1998,42.48
25-Aug-1998,42.5
26-Aug-1998,42.5
27-Aug-1998,42.53
28-Aug-1998,42.54
31-Aug-1998,42.55
1-Sep-1998,42.52
2-Sep-1998,42.53
3-Sep-1998,42.56
4-Sep-1998,42.54
7-Sep-1998,42.55
8-Sep-1998,42.56
9-Sep-1998,42.54
10-Sep-1998,42.54
11-Sep-1998,42.51
14-Sep-1998,42.49
15-Sep-1998,42.51
16-Sep-1998,42.49
17-Sep-1998,42.47
18-Sep-1998,42.53
21-Sep-1998,42.52
22-Sep-1998,42.51
23-Sep-1998,42.54
24-Sep-1998,42.53
25-Sep-1998,42.51
28-Sep-1998,42.53
29-Sep-1998,42.49
30-Sep-1998,42.49
1-Oct-1998,42.49
2-Oct-1998,42.49
5-Oct-1998,42.44
6-Oct-1998,42.4
7-Oct-1998,42.45
8-Oct-1998,42.37
9-Oct-1998,42.36
12-Oct-1998,42.36
13-Oct-1998,42.35
14-Oct-1998,42.34
15-Oct-1998,42.29
16-Oct-1998,42.3
19-Oct-1998,42.3
20-Oct-1998,42.3
21-Oct-1998,42.3
22-Oct-1998,42.3
23-Oct-1998,42.29
26-Oct-1998,42.27
27-Oct-1998,42.26
28-Oct-1998,42.27
29-Oct-1998,42.29
30-Oct-1998,42.37
2-Nov-1998,42.3
3-Nov-1998,42.29
4-Nov-1998,42.29
5-Nov-1998,42.35
6-Nov-1998,42.33
9-Nov-1998,42.27
10-Nov-1998,42.29
11-Nov-1998,42.28
12-Nov-1998,42.33
13-Nov-1998,42.32
16-Nov-1998,42.33
17-Nov-1998,42.37
18-Nov-1998,42.44
19-Nov-1998,42.47
20-Nov-1998,42.4
23-Nov-1998,42.38
24-Nov-1998,42.43
25-Nov-1998,42.42
26-Nov-1998,42.48
27-Nov-1998,42.52
30-Nov-1998,42.63
1-Dec-1998,42.58
2-Dec-1998,42.57
3-Dec-1998,42.55
4-Dec-1998,42.54
7-Dec-1998,42.57
8-Dec-1998,42.59
9-Dec-1998,42.58
10-Dec-1998,42.58
11-Dec-1998,42.59
14-Dec-1998,42.59
15-Dec-1998,42.57
16-Dec-1998,42.55
17-Dec-1998,42.55
18-Dec-1998,42.54
21-Dec-1998,42.55
22-Dec-1998,42.53
23-Dec-1998,42.55
24-Dec-1998,42.54
28-Dec-1998,42.52
29-Dec-1998,42.53
30-Dec-1998,42.54
31-Dec-1998,42.48
4-Jan-1999,42.51
5-Jan-1999,42.56
6-Jan-1999,42.51
7-Jan-1999,42.52
8-Jan-1999,42.52
11-Jan-1999,42.52
12-Jan-1999,42.5
13-Jan-1999,42.5
14-Jan-1999,42.52
15-Jan-1999,42.47
18-Jan-1999,42.5
19-Jan-1999,42.5
20-Jan-1999,42.5
21-Jan-1999,42.51
22-Jan-1999,42.51
25-Jan-1999,42.51
26-Jan-1999,42.51
27-Jan-1999,42.49
28-Jan-1999,42.5
29-Jan-1999,42.5
1-Feb-1999,42.5
2-Feb-1999,42.5
3-Feb-1999,42.48
4-Feb-1999,42.46
5-Feb-1999,42.47
8-Feb-1999,42.47
9-Feb-1999,42.44
10-Feb-1999,42.44
11-Feb-1999,42.46
12-Feb-1999,42.45
15-Feb-1999,42.49
16-Feb-1999,42.49
17-Feb-1999,42.49
18-Feb-1999,42.45
19-Feb-1999,42.44
22-Feb-1999,
23-Feb-1999,42.44
