iter	RMSE
725	4.010232043
726	4.009189829
727	4.00894323
728	4.007783469
729	4.006348816
730	4.003258153
731	3.999516124
732	3.999104218
733	3.994626524
734	3.992718768
735	3.990223655
736	3.989405552
737	3.986187609
738	3.983837031
739	3.981787107
740	3.977114077
741	3.976498556
742	3.97559286
743	3.97473602
744	3.973920517
745	3.972677707
746	3.970477224
747	3.967587793
748	3.964775157
749	3.962302883
750	3.961266599
751	3.960641468
752	3.958567014
753	3.956584343
754	3.954374598
755	3.95117505
756	3.949660928
757	3.946764985
758	3.945450133
759	3.943145631
760	3.940420728
761	3.938244787
762	3.93555981
763	3.934787983
764	3.930793387
765	3.929235969
766	3.927558203
767	3.92725186
768	3.925922056
769	3.922890405
770	3.920974433
771	3.920129561
772	3.919349097
773	3.918950579
774	3.917100543
775	3.916737778
776	3.915511683
777	3.914356212
778	3.912979247
779	3.911181443
780	3.909618892
781	3.908493152
782	3.906593041
783	3.90503257
784	3.903416228
785	3.902047354
786	3.900018056
787	3.898339447
788	3.895957594
789	3.892041804
790	3.890270201
791	3.888737593
792	3.886905631
793	3.88461788
794	3.883384923
795	3.880805508
796	3.88005803
797	3.878452166
798	3.877176826
799	3.874523201
800	3.873424172
801	3.87227016
802	3.870001078
803	3.86846513
804	3.864090957
805	3.86033265
806	3.858880866
807	3.857439871
808	3.856920124
809	3.853732039
810	3.852227928
811	3.851317464
812	3.849500294
813	3.847771256
814	3.843639249
815	3.841729668
816	3.839927649
817	3.838651311
818	3.837779608
819	3.835375385
820	3.834328871
821	3.832768833
822	3.831598038
823	3.830441763
824	3.829318447
825	3.826866561
826	3.825968699
827	3.823466947
828	3.821500911
829	3.820382938
830	3.818019045
831	3.814187485
832	3.809279127
833	3.807372492
834	3.806181095
835	3.804973459
836	3.803226332
837	3.801519199
838	3.798092733
839	3.796884825
840	3.796124325
841	3.795566895
842	3.794255635
843	3.791026922
844	3.790638383
845	3.790288312
846	3.787835297
847	3.78379517
848	3.783311168
849	3.781627847
850	3.778954692
851	3.777127318
852	3.776081052
853	3.773445703
854	3.770158559
855	3.769659236
856	3.767827502
857	3.766799091
858	3.765416123
859	3.764272808
860	3.76363534
861	3.762048727
862	3.761743293
863	3.759993055
864	3.757271291
865	3.75676771
866	3.755790634
867	3.754730401
868	3.753558907
869	3.752672161
870	3.749882449
871	3.748275857
872	3.746249262
873	3.744513509
874	3.742705443
875	3.741686055
876	3.741191887
877	3.739560087
878	3.73888531
879	3.737922035
880	3.73748995
881	3.736847216
882	3.735513377
883	3.734181373
884	3.733105057
885	3.730681291
886	3.729384349
887	3.72845809
888	3.727602389
889	3.724401804
890	3.722219371
891	3.721127798
892	3.719330101
893	3.717625509
894	3.714790551
895	3.714408429
896	3.712011809
897	3.710714623
898	3.710351161
899	3.709051675
900	3.707879538
901	3.706147005
902	3.705463487
903	3.705123875
904	3.704101526
905	3.702516318
906	3.702179305
907	3.699833459
908	3.698935263
909	3.69753935
910	3.697236656
911	3.696686998
912	3.693550403
913	3.691881658
914	3.690188469
915	3.68852788
916	3.68466503
917	3.683543015
918	3.683247119
919	3.682160321
920	3.68146097
921	3.680586724
922	3.679572183
923	3.677313656
924	3.676158039
925	3.675302324
926	3.673927294
927	3.671767373
928	3.670207118
929	3.667761491
930	3.666197263
931	3.664550207
932	3.663340863
933	3.661190424
934	3.659691552
935	3.658083068
936	3.656908352
937	3.65565729
938	3.654037427
939	3.653055228
940	3.650855694
941	3.648591227
942	3.646941579
943	3.644758645
944	3.64308263
945	3.641659726
946	3.640868985
947	3.638763574
948	3.636978771
949	3.635809346
950	3.634089448
951	3.633119842
952	3.63168755
953	3.629448494
954	3.627752274
955	3.625402102
956	3.623729895
957	3.622057743
958	3.620299562
959	3.616449866
960	3.615037875
961	3.613459422
962	3.612132836
963	3.610930467
964	3.608907015
965	3.608042306
966	3.607727928
967	3.606947854
968	3.605344478
969	3.603832702
970	3.603407399
971	3.602235855
972	3.601148122
973	3.599097655
974	3.598273788
975	3.595935763
976	3.593153732
977	3.590705405
978	3.589764594
979	3.589129341
980	3.587655756
981	3.587099581
982	3.585435571
983	3.584437198
984	3.583935525
985	3.581687681
986	3.580638266
987	3.579652376
988	3.577350858
989	3.576830661
990	3.57613578
991	3.57524774
992	3.574363616
993	3.572958361
994	3.57216385
995	3.571900194
996	3.570585926
997	3.5682326
998	3.566943996
999	3.564332754
